satisfaction,evaluation,projects,hours,tenure,accident,left,promotion,department,salary
4.3,4.5,3,149,2,no,yes,no,product_rand,low
5.5,7.7,4,185,2,no,no,no,product_rand,medium
9,9,5,96,5,no,no,no,management,medium
5.5,6.6,3,158,1,no,no,no,management,medium
8.6,5,5,180,1,no,no,no,product_rand,low
5.4,4,3,152,1,yes,no,yes,support_hr,high
2.4,6.6,4,164,3,yes,no,no,product_rand,medium
3.2,7.4,2,265,3,yes,no,no,management,medium
4.8,5.6,1,153,2,no,yes,no,product_rand,medium
4.4,5.2,1,155,2,no,yes,no,management,low
7.8,8.9,5,277,4,no,yes,no,mktg_sales,low
10,9.3,4,170,2,no,no,no,product_rand,medium
5.4,5.8,4,216,3,yes,no,no,mktg_sales,low
7.1,5.3,2,133,1,yes,no,no,product_rand,low
5.6,4.8,5,133,3,no,no,no,support_hr,low
9.3,4.4,2,264,7,no,no,no,product_rand,low
5.1,5.6,2,148,2,no,yes,no,mktg_sales,low
5.7,9.2,2,268,2,no,no,no,product_rand,low
5,4.4,3,140,6,yes,no,yes,support_hr,high
7.6,9.9,7,211,4,no,yes,no,product_rand,medium
6,8,4,205,3,no,no,no,mktg_sales,low
6.3,5.7,6,261,1,no,no,no,product_rand,low
5.3,6.7,5,272,2,no,no,no,management,medium
5,5,3,131,2,no,yes,no,product_rand,low
5.5,7,4,134,2,no,no,no,management,low
1.8,8.9,7,281,3,no,yes,no,acct_it,low
8.3,5.5,5,212,7,no,no,no,technical,medium
7.7,9.4,3,251,3,no,no,no,product_rand,medium
9.6,7.7,4,136,1,no,no,no,technical,medium
8.3,4.7,3,151,6,no,no,no,mktg_sales,low
3.7,3.9,4,189,2,yes,no,no,technical,low
9.1,9.8,4,259,2,no,no,no,technical,low
8.3,8.1,6,254,3,no,no,yes,product_rand,medium
9.2,4.8,3,228,2,no,no,no,acct_it,medium
8,5.7,3,157,2,no,no,no,technical,low
8.5,7.1,3,244,1,yes,no,no,technical,low
9.6,5.9,2,162,2,yes,no,no,technical,high
9.5,7.6,3,230,2,yes,no,no,mktg_sales,high
6.4,9.8,3,260,1,no,no,no,technical,low
9.1,6.5,4,255,1,no,no,no,management,high
4.9,7.4,5,130,5,no,no,no,management,medium
5.4,5.2,3,271,1,no,no,no,acct_it,high
8.2,8.2,4,222,2,no,no,no,product_rand,low
2.4,8.8,7,214,2,no,no,no,management,low
7.8,10,4,218,5,no,yes,no,acct_it,low
9.6,9.5,7,218,3,no,no,no,technical,low
5.8,6.6,4,187,2,no,no,no,technical,high
5.7,7.2,3,183,1,no,no,no,product_rand,medium
2,8.4,5,303,3,no,yes,no,product_rand,low
4.4,4.7,2,129,2,no,yes,no,product_rand,medium
5.4,6.7,3,252,1,yes,no,no,acct_it,medium
7.3,9.1,4,183,1,yes,no,no,acct_it,low
5.7,7.6,3,109,1,yes,no,no,mktg_sales,low
7.7,8.2,4,239,5,no,yes,no,technical,low
7.5,9.5,1,182,3,yes,no,no,mktg_sales,medium
8.8,10,6,262,4,yes,yes,no,acct_it,medium
8.7,6.1,4,221,1,no,no,no,product_rand,medium
1.9,8.7,7,288,3,no,yes,no,technical,medium
2.4,7.4,6,140,6,no,no,yes,support_hr,high
8.4,5.5,2,212,3,yes,no,no,acct_it,medium
9.6,6.1,4,195,2,no,no,no,product_rand,low
9.7,6.3,4,254,1,no,no,no,technical,medium
5.7,9.8,6,219,1,yes,no,no,acct_it,low
7.1,5,4,141,2,no,no,no,acct_it,medium
4.3,4.6,3,159,2,no,yes,no,product_rand,medium
2,8,6,306,3,no,yes,no,acct_it,low
2,8.9,7,282,3,no,yes,no,mktg_sales,low
8.2,6.6,5,184,2,yes,no,no,product_rand,low
9.1,9.2,5,270,4,no,yes,no,technical,medium
9.7,6.2,5,121,1,no,no,no,technical,low
9.5,5.2,5,128,2,no,no,no,management,low
6.3,9.9,3,236,1,no,no,no,support_hr,medium
2.3,5.5,7,175,4,no,yes,no,technical,medium
5.1,5.5,2,151,2,no,yes,no,acct_it,low
8.8,9.3,4,272,1,no,no,no,product_rand,low
9.6,9.4,1,271,3,yes,no,no,product_rand,low
6.5,4.2,3,102,7,no,no,no,product_rand,medium
7.9,5.5,2,222,2,no,no,no,management,medium
9.3,9.2,5,243,4,no,yes,no,product_rand,low
5.6,5.2,3,185,2,no,no,no,acct_it,high
5.4,7.4,3,260,2,yes,no,no,product_rand,medium
4.9,5.1,2,127,2,no,yes,no,technical,low
8.3,8.5,4,132,9,yes,no,no,support_hr,medium
8.4,9.9,6,253,2,yes,no,no,mktg_sales,low
7.6,8.9,2,139,2,no,no,no,mktg_sales,medium
7.6,7.4,3,224,2,no,no,no,mktg_sales,high
7.9,6.1,5,179,1,no,no,no,management,low
7.7,5.9,3,159,2,no,no,no,management,medium
8.3,8.6,5,252,2,no,no,no,product_rand,low
4.3,5.7,3,153,2,no,yes,no,mktg_sales,low
1.9,6.8,2,175,2,no,yes,no,technical,medium
1.9,8.4,6,287,3,yes,yes,no,acct_it,low
5.4,5.9,4,184,2,no,no,no,product_rand,low
5,5,1,137,2,no,yes,no,management,medium
8.7,8.4,6,224,4,no,yes,no,technical,low
3.5,4.6,6,276,5,no,no,no,acct_it,medium
8.7,9.6,4,165,2,no,no,no,management,high
8.8,8.4,3,263,5,no,yes,no,management,low
4.4,5.6,1,159,2,no,yes,no,product_rand,low
6.3,6.3,4,148,2,yes,no,no,product_rand,low
5.5,9.1,6,229,1,yes,no,no,support_hr,medium
6,6.4,5,240,2,yes,no,no,management,medium
9.7,9,5,263,2,no,no,no,product_rand,medium
1.8,8.4,7,264,3,no,yes,no,product_rand,low
4.8,4.7,4,142,2,yes,no,no,product_rand,medium
7.1,8.9,2,237,2,no,no,no,management,low
9.1,10,6,217,5,no,yes,no,product_rand,medium
8.8,9.8,5,244,4,no,yes,no,product_rand,low
4.7,5.1,2,147,2,no,yes,no,mktg_sales,low
3.3,3.9,2,99,3,no,no,no,technical,medium
2.6,6.1,6,170,5,no,no,no,product_rand,medium
6.2,7.6,4,223,2,no,no,no,management,medium
7.3,4.3,5,248,2,no,no,no,technical,high
6.7,8.7,2,103,2,no,no,no,acct_it,low
7.9,7.6,7,260,5,no,no,no,product_rand,low
5.7,6.6,4,189,2,no,no,no,technical,low
9.9,8.1,5,183,2,yes,no,no,acct_it,medium
7.2,9,3,155,1,no,no,no,acct_it,low
8.4,5.8,5,245,4,no,no,no,acct_it,medium
8.2,8.5,6,250,2,yes,no,no,acct_it,low
6.9,9.3,4,256,4,no,yes,no,mktg_sales,low
9.3,9.3,4,245,4,no,yes,no,product_rand,low
2.5,6.1,5,154,9,yes,no,no,product_rand,medium
6.7,5.2,3,188,1,no,no,no,acct_it,low
4.4,7.7,2,175,4,no,no,no,management,medium
9.6,6.2,4,255,6,no,no,no,product_rand,medium
8.5,8.2,4,137,2,no,no,no,technical,low
9.6,8.8,5,170,1,no,no,no,acct_it,medium
8.6,8.5,5,259,4,no,yes,no,management,low
9.3,7.4,2,136,1,no,no,no,management,low
9.8,6.3,3,233,1,no,no,no,management,medium
4.9,5.3,2,155,2,no,yes,no,management,low
7.5,8.6,4,194,1,no,no,no,mktg_sales,low
9.4,6,5,173,1,no,no,no,acct_it,medium
4.9,8.1,4,98,2,no,no,no,product_rand,medium
7.6,6.5,4,142,1,no,no,no,technical,low
4.6,4.6,3,113,2,no,no,no,technical,low
6,5.4,2,185,2,no,no,no,product_rand,low
9,8.9,4,177,1,no,no,no,acct_it,low
9.9,6.6,4,176,1,no,no,no,technical,medium
9.3,5,5,261,2,no,no,no,management,medium
7.5,6,3,155,4,no,yes,no,acct_it,low
6,9,5,242,2,no,no,no,product_rand,medium
5.8,5.1,5,239,1,no,no,no,product_rand,low
9.9,7.2,2,123,1,yes,no,no,product_rand,low
5.3,5.4,5,102,4,yes,no,no,management,low
9.1,9.1,4,172,2,no,no,no,product_rand,medium
8.1,9.2,4,255,5,no,yes,no,product_rand,low
3.7,5.8,3,190,3,yes,no,no,technical,low
5.9,6.8,5,188,1,no,no,no,management,low
2,7.8,5,257,3,no,yes,no,management,medium
7.5,5.8,5,253,1,no,no,no,mktg_sales,high
4.3,5,3,141,2,no,yes,no,product_rand,low
8.7,7.9,2,244,1,no,no,yes,acct_it,medium
9.7,3.8,5,206,6,yes,no,no,product_rand,medium
7.5,8.3,2,132,1,no,no,no,acct_it,medium
6.3,7.7,3,173,2,no,no,no,technical,low
9.4,9.1,1,238,1,yes,no,no,product_rand,low
7.9,8.1,3,166,2,no,no,no,acct_it,high
5.4,7.8,5,141,2,yes,no,no,technical,low
2.4,7.4,6,149,6,no,no,yes,support_hr,high
5.9,5.1,3,139,3,no,no,yes,mktg_sales,medium
3.2,4.8,6,126,4,yes,no,no,product_rand,low
5.1,5.4,2,143,2,no,yes,no,product_rand,low
7.9,5.6,5,229,3,no,no,no,product_rand,low
8.5,8.8,4,218,2,yes,no,no,product_rand,low
8.2,8,4,234,3,no,no,no,product_rand,low
7.9,8.1,3,159,2,no,no,no,acct_it,high
6.3,9.1,4,145,2,yes,no,no,management,medium
7.8,6.8,3,215,1,no,no,no,technical,medium
6.8,7.8,3,164,3,no,no,no,support_hr,medium
5.1,6.4,4,174,9,no,no,no,technical,medium
9,9.5,1,185,4,no,yes,no,acct_it,medium
9.6,9,4,158,2,no,no,no,acct_it,medium
6.7,8.5,1,155,2,yes,no,no,management,medium
9.5,8.5,4,232,1,no,no,no,product_rand,medium
2,9.1,5,279,3,no,yes,no,product_rand,low
4.3,4.7,3,154,2,no,yes,no,mktg_sales,low
8.8,6.8,5,186,2,no,no,no,product_rand,low
5,5.2,3,151,2,no,yes,no,product_rand,low
2.5,5.9,2,197,4,no,no,no,technical,low
7.2,4.3,5,111,7,no,no,no,acct_it,medium
10,6.1,6,174,2,no,no,no,acct_it,medium
8.6,8.7,4,248,5,no,yes,no,management,low
1.8,7.7,6,258,4,no,yes,no,management,medium
3.1,7.4,6,215,3,no,no,no,product_rand,medium
3.8,8.7,4,187,2,no,yes,no,acct_it,low
9.2,10,4,251,5,no,yes,no,product_rand,low
8.8,9,3,175,1,no,no,no,technical,low
6.9,9.2,4,100,2,yes,no,no,technical,medium
9.6,4.9,5,145,5,yes,no,no,technical,low
7.6,6.7,4,210,2,no,no,no,acct_it,low
9.9,8.1,2,184,1,no,no,no,acct_it,low
8.7,10,2,258,2,no,no,no,product_rand,medium
4.4,4.7,1,143,2,no,yes,no,management,medium
9.1,5.6,3,225,2,no,no,no,product_rand,low
6.8,5.9,3,172,2,yes,no,no,technical,low
8.5,9.9,6,261,4,no,yes,no,management,high
6.5,8.3,5,246,2,yes,no,yes,acct_it,low
6.9,6.2,3,247,1,no,no,no,mktg_sales,medium
9,8.7,6,227,4,no,yes,no,mktg_sales,low
5.4,5.7,4,195,2,no,no,no,acct_it,medium
5,6.9,2,174,1,no,no,no,acct_it,medium
4.4,4.5,2,159,2,no,yes,no,product_rand,medium
7.7,8.3,3,139,2,no,no,no,technical,medium
6.2,7.8,4,228,2,no,no,no,support_hr,low
7,6.4,3,153,3,no,no,no,acct_it,low
9.5,4.9,4,171,7,no,no,no,support_hr,medium
8.5,9.8,3,258,4,no,yes,no,management,medium
6.5,8.4,4,211,1,no,no,no,acct_it,low
7.3,5,7,219,4,no,no,no,management,medium
9.7,8.3,5,200,2,no,no,no,product_rand,low
5.6,7.9,5,137,2,no,yes,no,acct_it,low
8.3,7,3,222,1,yes,no,no,management,medium
8,5,5,211,1,no,no,no,product_rand,medium
6.3,6.5,4,223,2,yes,no,no,acct_it,low
9.6,9,6,197,1,no,no,no,product_rand,medium
8.3,7.4,3,223,2,no,no,no,support_hr,high
5.7,7.5,4,262,2,no,no,no,product_rand,medium
2.7,8,5,154,5,yes,no,no,product_rand,low
5.7,5.4,4,243,3,no,no,no,acct_it,high
2.8,9.9,6,150,2,yes,no,no,management,low
3.9,4,1,129,2,no,no,no,acct_it,low
9.3,9.7,3,197,1,no,no,no,product_rand,medium
6.6,6.4,3,164,2,no,no,no,acct_it,low
8.1,5,2,215,2,yes,no,no,management,low
5.6,7.6,2,241,2,no,no,no,management,high
6.5,7,4,162,3,no,no,no,management,low
9.6,5.4,4,195,2,no,no,no,management,low
6.2,5.5,4,202,2,no,no,no,acct_it,medium
8.4,8.9,3,239,1,no,no,no,mktg_sales,medium
7.8,8.9,3,224,1,no,no,no,mktg_sales,low
7.9,5,4,139,2,no,no,no,technical,medium
9.4,5.3,4,195,2,no,no,no,product_rand,low
4.6,4.5,4,118,2,no,no,no,management,low
6,4.5,2,176,1,yes,no,no,product_rand,low
6.2,9,4,179,2,yes,no,no,support_hr,low
4.8,5.6,1,134,2,no,yes,no,product_rand,low
7.7,8.2,5,244,5,no,yes,no,technical,low
7.1,5.9,4,143,1,no,no,no,product_rand,medium
5.8,9.1,5,170,3,no,no,no,support_hr,high
8.1,8.6,4,237,4,no,yes,no,management,medium
1.9,9.3,6,304,3,no,yes,no,acct_it,low
2,9.2,7,282,3,no,yes,no,product_rand,medium
6.2,4.9,4,137,1,no,no,no,technical,medium
6.6,5.2,7,258,3,no,no,no,management,medium
9.2,9.2,5,247,4,no,yes,no,product_rand,low
6.9,7,3,232,2,no,no,no,management,medium
4.2,5.2,1,150,2,no,yes,no,product_rand,medium
1.9,8.4,5,298,3,no,yes,no,technical,low
7.8,5.6,6,221,9,no,no,no,support_hr,high
4.4,5.4,3,132,2,no,yes,no,acct_it,low
4.7,5.6,1,147,2,no,yes,no,acct_it,medium
6.9,6.6,4,223,2,no,no,no,acct_it,low
7.8,7.2,4,268,2,no,no,no,technical,medium
6,6.8,3,264,2,yes,no,no,acct_it,low
6.9,8,4,195,2,no,no,no,management,medium
3.1,4.9,5,210,4,no,no,no,technical,high
6.6,6.2,3,140,1,no,no,no,product_rand,medium
8.2,8.1,6,145,1,no,no,no,product_rand,medium
3.5,5.5,5,212,3,no,no,no,product_rand,medium
4.6,4.7,3,140,2,no,yes,no,management,medium
5.8,7.7,3,255,1,yes,no,yes,product_rand,medium
8.8,10,4,261,4,yes,yes,no,acct_it,medium
2.4,7.3,4,202,1,no,no,no,acct_it,low
5.8,8.5,3,238,5,no,no,no,product_rand,medium
8.2,7.7,5,222,1,no,no,no,technical,medium
9.5,8.4,4,243,2,no,no,yes,product_rand,low
9.6,5.5,4,183,1,no,no,no,management,low
4.9,5.6,2,158,2,no,yes,no,product_rand,low
7.7,6.3,4,185,2,no,no,no,support_hr,high
9.3,5.5,5,181,2,no,no,no,acct_it,low
1.9,9.7,6,247,3,no,yes,no,support_hr,medium
5.5,7.7,3,170,2,no,no,no,technical,medium
9.2,6.2,3,157,2,yes,no,no,product_rand,medium
8.5,7.5,3,155,2,no,no,no,management,low
2,9.5,8,295,3,no,yes,no,support_hr,medium
6.7,7.5,3,172,3,no,no,no,management,medium
7.2,9.8,2,218,1,no,no,no,product_rand,low
6.7,7.5,5,150,2,no,no,no,acct_it,low
6.9,6.1,6,171,7,no,no,no,product_rand,low
6,6.9,3,225,2,yes,no,no,support_hr,high
4.5,5.2,1,146,2,yes,yes,yes,product_rand,low
6.8,8.6,5,147,1,no,no,no,management,medium
6.3,8.2,1,235,1,no,no,no,technical,medium
5.1,6.3,1,178,5,no,no,no,mktg_sales,medium
5.5,7.5,4,178,5,no,no,no,acct_it,medium
4.4,5.7,1,136,2,no,yes,no,product_rand,low
7,4,3,278,2,no,no,no,product_rand,low
8.4,6,6,236,1,no,no,no,acct_it,medium
9,7.9,5,209,2,no,no,no,management,low
8.8,9.4,6,215,4,no,yes,no,product_rand,low
3,6.1,3,145,5,no,no,no,support_hr,medium
4.4,5.5,3,151,2,no,yes,no,product_rand,low
9.2,8.3,3,234,2,no,no,no,acct_it,low
7.3,7.4,4,206,1,no,no,no,technical,medium
9.6,5.8,5,191,2,no,no,no,product_rand,low
2.7,10,5,189,3,no,yes,no,technical,low
5.3,5.8,4,191,2,no,no,no,acct_it,medium
7.3,5.3,3,156,2,no,no,no,acct_it,low
9.2,5.9,3,133,3,no,no,no,acct_it,medium
5.8,5.9,4,233,1,no,no,no,product_rand,low
2,8.8,8,279,3,no,yes,no,management,low
7.2,6.5,5,231,1,yes,no,no,product_rand,low
8.5,7.7,4,232,2,no,no,no,product_rand,medium
7,6.3,3,268,4,no,no,no,product_rand,low
5.3,8.1,3,213,1,no,no,no,acct_it,low
